Year,Country of Residence,Country Population,Syrian Refugees,
2010,Papua New Guinea,6847517,NA,
2010,Paraguay,6209877,NA,
2010,Peru,29373644,NA,
2010,Philippines,93038902,NA,
2010,Portugal,10573100,NA,
2010,Qatar,1765513,8,
2010,Romania,20246871,21,
2010,Russian Federation,142849449,5,
2010,Rep of Korea,49410366,NA,
2010,Rwanda,10293669,NA,
2010,Saudi Arabia,28090647,14,
2010,Slovakia,5391428,22,
2010,Sweden,9378126,1169,
2010,Syrian Arab Rep.,20720602,NA,
2010,Saint Kitts and Nevis,52352,NA,
2010,Saint Lucia,177397,NA,
2010,Saint Vincent and the Grenadines,109316,NA,
2010,Senegal,12956791,NA,
2010,Serbia  and Kosova,,NA,
2010,Sierra Leone,5775902,NA,
2010,Singapore,5076732,NA,
2010,Sint Maarten,35474,NA,
2010,Slovenia,2048583,NA,
2010,Solomon Islands,526177,NA,
2010,Somalia,9581714,NA,
2010,South Africa,1629223562,NA,
2010,South sudan,10056475,NA,
2010,Sri Lanka,20653000,NA,
2010,State of Palestine,NA,NA,
2010,Sudan,36114885,NA,
2010,Suriname,518141,NA,
2010,Swaziland,1193148,NA,
2010,Chad,11896380,1,
2010,Thailand,66692024,0,
2010,Tunisia,10547100,5,
2010,Turkey,72310416,9,
2010,Tajikistan,66692024,NA,
2010,Trinidad and Tobago,1328095,NA,
2010,Tonga,103947,NA,
2010,Timor-Leste,1066409,NA,
2010,Togo,6390851,NA,
2010,Turkmenistan,5041995,NA,
2010,Turks and Caicos Islands,30993,NA,
2010,Ukraine,45870700,42,
2010,United States,309347057,312,
2010,Uganda,33149417,NA,
2010,United Rep. of Tanzania,45648525,NA,
2010,Uruguay,3374414,NA,
2010,Uzbekistan,28562400,NA,
2010,Vanuatu,236299,NA,
2010,Venezula,28995745,NA,
2010,Viet Nam,86932500,NA,
2010,Zambia,13917439,NA,
2010,Zimbabwe,13973897,NA,
2010,Yemen,23591972,52,
2012,Afghanistan,29726803,1,
2012,Angola,22685632,0,
2012,Albania,2900489,0,
2012,United Arab Emirates,8952542,16,
2012,Argentina,42095224,40,
2012,Armenia,2978339,136,
2012,Australia,22728254,204,
2012,Austria,8429991,1675,
2012,Azerbaijan,9295784,3,
2012,Belgium,11128246,355,
2012,Benin,10049792,1,
2012,Bulgaria,7305888,97,
2012,Bahrain,1333577,0,
2012,Bosnia and Herzegovina,3828419,5,
2012,Belarus,9464000,0,
2012,Brazil,202401584,42,
2012,Canada,34751476,533,
2012,Switzerland,7996861,1391,
2012,Chile,17388437,0,
2012,Cameroon,21659488,1,
2012,Colombia,46881018,1,
2012,Costa Rica,4654148,0,
2012,Cuba,11342631,11,
2012,Cyprus,1129303,139,
2012,Czech Rep.,10510785,54,
2012,Germany,80425823,18165,
2012,Denmark,5591572,1903,
2012,Dominican Rep.,71685,7,
2012,Algeria,37439427,0,
2012,Ecuador,15419493,11,
2012,Egypt,85660902,12836,
2012,Spain,46773055,32,
2012,Finland,5413971,218,
2012,France,65639975,640,
2012,United Kingdom,63700300,1717,
2012,Georgia,3825000,141,
2012,Ghana,25544565,0,
2012,Greece,11045011,20,
2012,"China, Hong Kong SAR",7154600,0,
2012,Croatia,4267558,12,
2012,Hungary,9920362,86,
2012,Indonesia,248037853,5,
2012,India,1263589639,6,
2012,Ireland,4586897,38,
2012,Iraq,32780975,63586,
2012,Iceland,320716,2,
2012,Italy,59539717,445,
2012,Jordan,6318000,238798,
2012,Japan,127561489,0,
2012,Kazakhstan,16791425,0,
2012,Kyrgyzstan,5607200,7,
2012,Cambodia,14832255,0,
2012,Rep. of Korea,50004441,0,
2012,Kuwait,3419581,15,
2012,Lebanon,4440728,126939,
2012,Libya,6283403,0,
2012,Sri Lanka,20424000,1,
2012,Lithuania,2987773,5,
2012,Latvia,2034319,17,
2012,"China, Macao SAR",557763,0,
2012,Morocco,32984190,0,
2012,Rep. of Moldova,3559519,55,
2012,Mexico,122070963,2,
2012,The former Yugoslav Republic of Macedonia,2069270,0,
2012,Malta,419455,191,
2012,Montenegro,620601,0,
2012,Malaysia,29021940,4,
2012,Niger,17635782,0,
2012,Nigeria,168240403,0,
2012,Netherlands,16754962,1449,
2012,Norway,5018573,565,
2012,New Zealand,4408100,41,
2012,Oman,3545192,7,
2012,Pakistan,177392252,11,
2012,Philippines,96017322,0,
2012,Poland,38063164,17,
2012,Portugal,10514844,0,
2012,Qatar,2015624,8,
2012,Romania,20058035,152,
2012,Russian Federation,143201676,53,
2012,Saudi Arabia,29496047,14,
2012,Sudan,37712420,0,
2012,Serbia and Kosovo (S/RES/1244 (1999)),7199077,0,
2012,Slovakia,5407579,24,
2012,Slovenia,2057159,2,
2012,Sweden,9519374,6051,
2012,Chad,12715465,4,
2012,Togo,6745581,1,
2012,Thailand,67164130,10,
2012,Tunisia,10777500,6,
2012,Turkey,74099255,248466,
2012,United Rep. of Tanzania,48645709,0,
2012,Uganda,35400620,0,
