Year,Country of Residence,Country Population,Continent,Syrian Refugees in Country
2012,Niger,17635782,Africa,
2012,Nigeria,168240403,Africa,
2012,Netherlands,16754962,Europe,1449
2012,Norway,5018573,Europe,565
2012,New Zealand,4408100,Oceania,41
2012,Oman,3545192,Asia,7
2012,Pakistan,177392252,Asia,11
2012,Philippines,96017322,Asia,
2012,Poland,38063164,Europe,17
2012,Portugal,10514844,Europe,
2012,Qatar,2015624,Asia,8
2012,Romania,20058035,Europe,152
2012,Russian Federation,143201676,Europe,53
2012,Saudi Arabia,29496047,Asia,14
2012,Sudan,37712420,Africa,
2012,Serbia and Kosovo (S/RES/1244 (1999)),7199077,Europe,
2012,Slovakia,5407579,Europe,24
2012,Slovenia,2057159,Europe,2
2012,Sweden,9519374,Europe,6051
2012,Chad,12715465,Africa,4
2012,Togo,6745581,Africa,1
2012,Thailand,67164130,Asia,10
2012,Tunisia,10777500,Africa,6
2012,Turkey,74099255,Asia,248466
2012,United Rep. of Tanzania,48645709,Africa,
2012,Uganda,35400620,Africa,
2012,Ukraine,45593300,Europe,63
2012,United States,314112078,North America,1425
2012,Yemen,24882792,Asia,42
2012,South Africa,52341695,Africa,2
2014,Albania,2894475,Europe,*
2014,United Arab Emirates,9086139,Asia,28
2014,Argentina,42980026,South America,233
2014,Armenia,3006154,Asia,14994
2014,Australia,23470118,Oceania,302
2014,Austria,8545908,Europe,2748
2014,Azerbaijan,9535079,Asia,7
2014,Belgium,11231213,Europe,2620
2014,Bulgaria,7223938,Europe,8501
2014,Bosnia and Herzegovina,3817554,Europe,25
2014,Belarus,9470000,Europe,72
2014,Bolivia (Plurinational State of),10238762,South America,6
2014,Brazil,206077898,South America,1739
2014,Barbados,283380,North America,*
2014,Central African Rep.,4619500,Africa,
2014,Canada,35543658,North America,705
2014,Switzerland,8188102,Europe,5161
2014,Chile,17762647,South America,6
2014,China,1364270000,Asia,5
2014,Cameroon,22773014,Africa,*
2014,Dem. Rep. of the Congo,4286188,Africa,
2014,Colombia,47791393,South America,*
2014,Costa Rica,4757606,North America,5
2014,Cuba,11379111,North America,20
2014,Cura̤ao,152088,N/A,*
2014,Cyprus,1153658,Europe,1451
2014,Czech Rep.,10525347,Europe,236
2014,Germany,80970732,Europe,40994
2014,Djibouti,876174,Africa,
2014,Denmark,5638530,Europe,7253
2014,Dominican Rep.,10405943,Africa,*
2014,Algeria,38934334,Africa,
2014,Ecuador,15902916,South America,13
2014,Egypt,89579670,Africa,138381
2014,Spain,46476032,Europe,1336
2014,Estonia,1314545,Europe,6
2014,Ethiopia,96958732,Africa,
2014,Finland,5461512,Europe,438
2014,France,66217509,Europe,2882
2014,Gabon,1687673,Africa,
2014,United Kingdom,64559135,Europe,4572
2014,Georgia,3727000,Asia,471
2014,Ghana,26786598,Africa,5
2014,Greece,10869637,Europe,3913
2014,"China, Hong Kong SAR",7241700,Asia,
2014,Croatia,4238389,Europe,22
2014,Hungary,9863183,Europe,334
2014,Indonesia,254454778,Asia,43
2014,India,1295291543,Asia,27
2014,Ireland,4615693,Europe,176
2014,Iraq,34812326,Asia,234196
2014,Iceland,327386,Europe,7
2014,Israel,8215700,Asia,*
2014,Italy,60789140,Europe,1144
2014,Jamaica,2720554,North America,*
2014,Jordan,6607000,Asia,623112
2014,Japan,127131800,Asia,41
2014,Kazakhstan,17289224,Asia,14
2014,Kenya,44863583,Africa,
2014,Kyrgyzstan,5835500,Asia,56
2014,Cambodia,15328136,Asia,
2014,Rep. of Korea,50423955,Asia,503
2014,Kuwait,3753121,Asia,15
2014,Lebanon,4546774,Asia,1147494
2014,Liberia,4396554,Africa,6
2014,Libya,6258984,Africa,18653
2014,Saint Lucia,183645,North America,*
2014,Liechtenstein,37286,Europe,5
2014,Sri Lanka,20771000,Asia,*
2014,Lithuania,2932367,Europe,20
2014,Luxembourg,556319,Europe,59
2014,Latvia,1993782,Europe,52
2014,"China, Macao SAR",577914,Asia,
2014,Morocco,33921203,Africa,647
2014,Rep. of Moldova,3556397,Europe,186
2014,Mexico,125385833,North America,13
2014,The former Yugoslav Republic of Macedonia,2075625,Europe,11
2014,Mali,17086022,Africa,16
2014,Malta,427364,Europe,1047
2014,Montenegro,621810,Europe,
2014,Mongolia,2909871,Asia,*
2014,Mauritania,3969625,Africa,41
2014,Malaysia,29901997,Asia,447
2014,Niger,19113728,Africa,6
2014,Nigeria,177475986,Africa,11
2014,Netherlands,16865008,Europe,8692
2014,Norway,5136886,Europe,2568
2014,Nauru,9488,Oceania,
2014,New Zealand,4509700,Oceania,48
2014,Oman,4236057,Asia,7
2014,Pakistan,185044286,Asia,16
2014,Peru,30973148,South America,20
2014,Philippines,99138690,Asia,19
2014,Papua New Guinea,7463577,Oceania,*
2014,Poland,38011735,Europe,240
2014,Portugal,10401062,Europe,15
2014,Paraguay,6552518,South America,7
2014,Qatar,2172065,Asia,14
2014,Romania,19904360,Europe,1278
2014,Russian Federation,143819569,Europe,1927
2014,Saudi Arabia,30886545,Asia,18
2014,Sudan,39350274,Africa,797
2014,Senegal,14672557,Africa,
2014,Somalia,10517569,Africa,
2014,Serbia and Kosovo,1859203,Europe,600000
2014,South Sudan,11911184,Africa,
2014,Slovakia,5415949,Europe,40
